/* DATA DESCRIPTION:
Citation:	Extier, Thomas; Landais, Amaelle; Bréant, Camille; Prié, F; Bazin, Lucie; Dreyfus, Gabrielle; Roche, Didier M; Leuenberger, Markus C (2018): δ¹⁸Oatm records between 100-800 ka from EPICA Dome C ice core. PANGAEA, https://doi.org/10.1594/PANGAEA.887323, 
	In supplement to: Extier, T et al. (2018): On the use of d18O atm for ice core dating. Quaternary Science Reviews, 185, 244-257, https://doi.org/10.1016/j.quascirev.2018.02.008
Related to:	Bazin, Lucie; Landais, Amaelle; Capron, Emilie; Masson-Delmotte, Valerie; Ritz, Catherine; Picard, Ghislain; Jouzel, Jean; Dumont, Marie; Leuenberger, Markus C; Prié, F (2016): Phase relationships between orbital forcing and the composition of air trapped in Antarctic ice cores. Climate of the Past, 12(3), 729-748, https://doi.org/10.5194/cp-12-729-2016
	Dreyfus, Gabrielle; Parrenin, Frédéric; Lemieux-Dudon, Bénédicte; Durand, Gael; Masson-Delmotte, Valerie; Jouzel, Jean; Barnola, Jean-Marc; Panno, L; Spahni, Renato; Tisserand, Amandine; Siegenthaler, Urs; Leuenberger, Markus C (2007): Anomalous flow below 2700 m in the EPICA Dome C ice core detected using d18O of atmospheric oxygen measurements. Climate of the Past, 3(2), 341-353, https://doi.org/10.5194/cp-3-341-2007
	Dreyfus, Gabrielle; Raisbeck, Grant M; Parrenin, Frédéric; Jouzel, Jean; Guyodo, Yohan; Nomade, Jérome; Mazaud, Alain (2008): An ice core perspective on the age of the Matuyama-Brunhes boundary. Earth and Planetary Science Letters, 274(1-2), 151-156, https://doi.org/10.1016/j.epsl.2008.07.008
	Landais, Amaelle; Dreyfus, Gabrielle; Capron, Emilie; Jouzel, Jean; Masson-Delmotte, Valerie; Roche, D M; Prié, F; Caillon, Nicolas; Chappellaz, Jérôme A; Leuenberger, Markus C; Lourantou, Anna; Parrenin, Frédéric; Raynaud, Dominique; Teste, Grégory (2013): Two-phase change in CO2, Antarctic temperature and global climate during Termination II. Nature Geoscience, 6(12), 1062-1065, https://doi.org/10.1038/ngeo1985
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Coverage:	LATITUDE: -75.102000 * LONGITUDE: 123.395000
	MINIMUM DEPTH, ice/snow: 1410.77 m * MAXIMUM DEPTH, ice/snow: 3191.14 m
Event(s):	DomeC * LATITUDE: -75.102000 * LONGITUDE: 123.395000 * ELEVATION: 3233.0 m * METHOD/DEVICE: Drilling/drill rig (DRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr)
	AGE [ka BP] (Age) * GEOCODE * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr) * COMMENT: gas age
	δ18O, atmospheric [‰] (δ18Oatm) * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	999 data points
*/
Depth ice/snow [m]	Age [ka BP]	δ18Oatm [‰]
1760.18	131.717	1.0715
1762.77	132.041	1.0532
1765.52	132.367	1.1226
1768.27	132.661	1.0630
1773.83	133.368	1.0170
1776.52	133.721	1.0651
1779.37	134.090	0.9910
1782.02	134.520	1.0444
1784.77	134.974	1.0209
1784.84	134.984	0.9927
1787.52	135.391	1.0027
1787.58	135.402	0.9685
1790.42	135.934	0.9750
1793.02	136.484	0.9777
1795.83	137.084	0.9745
1801.33	138.136	0.9150
1804.57	138.822	0.9340
1806.83	139.291	0.9230
1809.52	139.933	0.8896
1812.41	140.556	0.8520
1815.08	141.111	0.8025
1817.77	141.688	0.7974
1817.83	141.701	0.7760
1823.33	142.971	0.6570
1828.83	144.207	0.6465
1834.38	145.416	0.6440
1839.77	146.647	0.5580
1845.33	147.720	0.5585
1867.27	152.012	0.7282
1870.02	152.582	0.6892
1872.23	153.027	0.6343
1875.00	153.599	0.7829
1877.75	154.110	0.7022
1879.95	154.628	0.7787
1880.50	154.757	0.7195
1882.15	155.142	0.8176
1884.90	155.806	0.7110
1886.00	156.096	0.6962
1887.65	156.464	0.7768
1888.75	156.752	0.7671
1889.85	157.022	0.7170
1891.45	157.393	0.6100
1891.50	157.405	0.7207
1893.15	157.787	0.7532
1894.25	158.044	0.6349
1895.35	158.421	0.6613
1901.90	159.740	0.5750
1902.50	159.838	0.6822
1904.07	160.200	0.7016
1904.15	160.217	0.6891
1909.65	161.012	0.7507
1910.20	161.122	0.7718
1912.40	161.632	0.6852
1913.50	161.884	0.6915
1914.52	162.112	0.6950
1915.15	162.248	0.6542
1916.25	162.512	0.5611
1917.35	162.797	0.5082
1919.00	163.193	0.5953
1921.75	163.681	0.4387
1923.32	163.897	0.5804
1923.95	163.991	0.5789
1926.15	164.378	0.5646
1927.25	164.625	0.5021
1928.35	164.862	0.5208
1930.00	165.238	0.4861
1931.65	165.725	0.4238
1933.85	166.311	0.3148
1935.48	166.859	0.1599
1937.15	167.188	0.2081
1937.70	167.330	0.1214
1941.00	168.147	0.0427
1943.15	168.678	-0.0796
1943.67	168.815	-0.0160
1944.85	169.095	-0.0228
1946.48	169.487	-0.1437
1946.50	169.493	-0.0234
1948.15	169.812	-0.0523
1949.25	170.015	-0.0514
1950.35	170.231	0.0123
1950.90	170.358	-0.0199
1953.57	170.833	-0.0471
1954.20	170.974	-0.0015
1956.40	171.514	-0.0609
1959.15	172.172	-0.1446
1963.47	173.295	-0.1830
1965.15	173.793	-0.2763
1968.50	174.612	-0.1417
1970.15	174.915	-0.0759
1971.25	175.070	-0.0496
1972.82	175.380	-0.0410
1972.85	175.386	-0.1073
1974.00	175.680	-0.0350
1975.65	176.156	-0.0350
1976.75	176.478	-0.0440
1979.48	177.222	-0.1100
1980.05	177.364	-0.0238
1982.17	177.854	0.0240
1982.25	177.868	-0.0221
1983.35	178.077	0.0576
1985.00	178.413	0.0977
1986.65	178.777	0.1588
1992.07	180.086	0.3135
1993.23	180.294	0.2979
1995.43	180.605	0.4377
1997.65	180.936	0.6259
1998.75	181.155	0.6282
2001.45	181.612	0.6580
2001.50	181.624	0.7713
2003.15	182.012	0.6719
2004.25	182.262	0.7156
2005.35	182.541	0.7425
2007.00	182.978	0.6617
2008.57	183.320	0.7464
2009.20	183.424	0.7557
2011.40	183.866	0.7575
2012.50	184.129	0.6847
2014.15	184.484	0.7680
2016.82	185.111	0.7277
2020.15	185.830	0.6152
2022.40	186.393	0.7412
2023.50	186.663	0.7206
2026.72	187.381	0.5784
2036.62	189.408	0.3737
2045.42	190.785	0.2902
2054.77	192.926	-0.1382
2056.48	193.356	-0.1722
2064.67	194.772	-0.0659
2069.68	196.063	-0.1643
2075.67	197.301	-0.1893
2078.45	197.774	-0.1703
2080.65	198.187	-0.1602
2084.53	198.930	-0.1338
2086.18	199.209	-0.0450
2088.32	199.534	-0.0385
2089.45	199.716	-0.0543
2092.20	200.157	0.0080
2099.90	201.399	0.2218
2100.97	201.569	0.3218
2103.20	201.943	0.3347
2104.85	202.190	0.3921
2108.18	202.774	0.4599
2111.42	203.289	0.5588
2113.65	203.662	0.5083
2119.15	204.819	0.4962
2121.87	205.424	0.5312
2124.65	206.048	0.4977
2132.87	207.545	0.3363
2146.07	209.848	0.4425
2158.17	211.772	0.1709
2182.92	215.706	-0.0348
2193.98	217.423	0.1918
2202.17	218.980	0.1142
2209.87	220.774	0.1733
2216.47	222.381	0.3688
2223.07	224.411	0.5117
2230.22	226.595	0.6687
2236.82	228.026	0.8918
2243.42	230.135	0.7561
2251.12	232.271	0.6204
2259.37	234.457	0.5601
2261.62	235.008	0.5404
2262.72	235.249	0.4649
2263.82	235.480	0.4527
2266.03	236.010	0.3545
2267.12	236.265	0.2696
2268.17	236.456	0.2863
2268.72	236.556	0.3011
2270.43	236.903	0.2477
2271.53	237.157	0.1557
2272.57	237.369	0.1475
2273.67	237.557	0.0528
2274.88	237.813	0.0638
2275.87	238.016	0.0782
2275.93	238.027	0.0538
2277.12	238.266	-0.0152
2279.17	238.719	-0.0115
2279.36	238.755	-0.0350
2280.82	239.045	-0.0236
2281.43	239.170	-0.0211
2283.72	239.633	-0.0361
2285.18	239.912	-0.0386
2285.77	240.025	0.0346
2288.12	240.490	-0.0070
2289.59	240.781	0.0204
2290.32	240.925	0.0278
2291.27	241.103	0.0597
2292.53	241.302	0.1100
2293.53	241.436	0.1339
2294.57	241.620	0.1544
2294.73	241.647	0.1564
2295.67	241.810	0.2496
2296.93	242.022	0.2287
2297.93	242.167	0.2771
2298.97	242.318	0.4281
2300.07	242.473	0.4591
2301.38	242.641	0.4545
2302.33	242.768	0.5223
2303.57	242.931	0.5823
2305.08	243.062	0.6226
2305.57	243.125	0.7097
2305.63	243.132	0.7755
2305.78	243.151	0.6583
2306.73	243.272	0.6903
2307.83	243.416	0.8446
2307.97	243.436	0.7297
2310.18	243.737	0.7415
2311.14	243.883	0.7665
2312.17	244.034	0.7310
2312.23	244.042	0.8093
2313.27	244.189	0.8006
2313.33	244.198	0.7850
2314.91	244.484	0.6751
2315.47	244.568	0.7356
2315.57	244.583	0.7049
2316.62	244.738	0.6552
2316.63	244.739	0.6750
2317.67	244.926	0.6075
2317.73	244.936	0.5230
2318.82	245.169	0.6387
2318.83	245.170	0.5918
2319.93	245.438	0.6045
2321.03	245.732	0.6206
2322.07	246.002	0.6587
2322.13	246.016	0.7409
2323.23	246.289	0.5954
2324.33	246.581	0.5958
2325.43	246.892	0.5474
2327.05	247.397	0.4215
2327.62	247.589	0.5250
2327.63	247.590	0.5506
2328.67	247.969	0.4328
2329.18	248.167	0.5034
2329.22	248.184	0.5910
2329.25	248.195	0.2655
2329.77	248.399	0.4992
2329.82	248.419	0.5290
2330.35	248.612	0.3730
2331.48	249.022	0.4531
2331.97	249.137	0.4619
2332.03	249.149	0.6034
2332.55	249.271	0.3543
2333.13	249.405	0.5673
2333.65	249.544	0.3310
2334.28	249.711	0.6390
2334.75	249.837	0.5920
2335.27	249.993	0.8161
2335.33	250.009	0.6874
2335.82	250.157	0.7125
2335.88	250.173	0.6744
2336.43	250.339	0.7636
2336.95	250.543	0.5806
2337.53	250.767	0.7486
2338.02	250.961	0.7244
2338.08	250.983	0.6071
2338.63	251.203	0.7279
2338.63	251.204	0.7607
2339.15	251.413	0.6038
2339.73	251.646	0.6166
2340.22	251.865	0.5904
2340.28	251.890	0.6273
2340.77	252.109	0.5799
2340.82	252.132	0.6826
2340.83	252.134	0.7060
2341.32	252.353	0.5406
2341.93	252.575	0.5964
2343.55	253.177	0.6129
2344.65	253.594	0.6065
2345.22	253.843	0.6949
2345.23	253.844	0.5803
2345.75	254.071	0.5622
2346.27	254.297	0.6870
2346.32	254.320	0.6811
2346.33	254.321	0.6684
2346.82	254.530	0.7343
2346.85	254.542	0.4964
2347.43	254.785	0.6728
2347.92	254.995	0.5399
2349.05	255.397	0.5180
2349.62	255.601	0.6206
2350.15	255.784	0.4019
2351.11	256.116	0.6131
2351.25	256.167	0.4937
2351.88	256.349	0.5860
2352.35	256.487	0.3890
2352.87	256.639	0.5767
2353.45	256.859	0.3732
2354.00	257.071	0.5091
2354.55	257.283	0.4337
2355.65	257.678	0.3282
2356.75	258.097	0.2230
2357.85	258.542	0.3513
2358.92	258.888	0.5057
2358.95	258.897	0.1419
2360.05	259.269	0.1751
2361.15	259.659	0.2480
2362.25	260.218	0.1717
2363.35	260.747	0.1927
2364.42	261.234	0.4245
2364.45	261.246	0.2836
2365.55	261.716	0.3480
2366.65	262.197	0.1367
2367.75	262.690	0.2114
2368.85	263.126	0.2279
2369.95	263.538	0.2099
2370.47	263.722	0.3061
2372.15	264.288	0.2768
2373.25	264.621	0.2155
2374.35	264.922	0.2150
2375.45	265.307	0.2200
2376.52	265.634	0.4243
2376.55	265.641	0.2699
2377.65	265.926	0.4310
2378.75	266.212	0.3916
2379.85	266.479	0.4603
2380.95	266.727	0.4595
2382.05	267.101	0.4630
2383.15	267.472	0.3904
2385.35	268.225	0.5045
2386.45	268.629	0.4301
2386.97	268.829	0.6059
2387.55	269.050	0.5224
2388.65	269.486	0.4660
2389.75	269.883	0.5415
2390.85	270.242	0.5105
2391.92	270.646	0.6736
2391.95	270.656	0.5340
2393.05	271.052	0.5504
2394.15	271.430	0.4634
2395.25	271.847	0.5358
2396.32	272.251	0.6908
2396.35	272.262	0.6080
2397.45	272.673	0.5798
2398.55	273.056	0.6123
2399.65	273.480	0.5660
2400.75	273.943	0.5454
2401.27	274.142	0.6929
2401.85	274.361	0.5282
2402.95	274.775	0.5978
2404.05	275.184	0.5205
2405.15	275.583	0.5145
2406.22	275.973	0.7137
2406.25	275.983	0.4598
2407.35	276.382	0.6111
2408.45	276.749	0.5931
2409.55	277.125	0.5658
2410.65	277.510	0.5367
2411.17	277.675	0.7698
2411.75	277.857	0.6212
2412.85	278.253	0.5513
2413.95	278.697	0.5586
2415.05	279.067	0.4079
2416.15	279.427	0.5005
2416.67	279.594	0.6326
2417.25	279.778	0.4451
2418.35	280.209	0.4059
2419.45	280.613	0.4267
2420.55	280.992	0.5040
2421.65	281.271	0.2539
2422.75	281.568	0.4628
2423.85	281.883	0.4047
2424.95	282.336	0.3146
2426.05	282.758	0.1863
2427.15	283.150	0.0774
2428.25	283.479	0.1772
2429.35	283.812	0.1346
2430.45	284.149	0.1522
2431.55	284.473	0.1399
2432.65	284.811	0.0636
2433.75	285.162	0.0849
2435.37	285.644	0.1364
2438.15	286.507	-0.0492
2440.35	287.139	-0.0562
2441.45	287.471	-0.1406
2441.97	287.629	-0.0291
2442.55	287.804	-0.1340
2443.65	288.138	-0.0906
2444.75	288.428	-0.1106
2446.95	289.045	-0.1549
2448.05	289.382	-0.2483
2448.57	289.542	-0.0415
2449.15	289.715	-0.3144
2450.25	290.046	-0.2799
2451.35	290.315	-0.1927
2452.45	290.585	-0.1594
2454.07	291.017	0.0939
2455.75	291.569	-0.1496
2456.85	291.972	-0.1116
2457.95	292.346	-0.0950
2459.02	292.729	0.0255
2459.05	292.739	-0.0236
2461.25	293.564	-0.1306
2464.52	294.854	0.1715
2465.65	295.276	0.0937
2469.47	296.462	0.5706
2470.05	296.623	0.4223
2474.45	298.507	0.3933
2474.97	298.695	0.5155
2479.43	300.145	0.6430
2480.47	300.518	0.6720
2482.74	301.523	0.4920
2485.97	302.700	0.4628
2487.14	303.082	0.3385
2491.47	304.540	0.3610
2496.42	306.359	0.0722
2501.92	308.781	0.0244
2504.74	310.114	0.0840
2507.42	311.276	0.0534
2509.14	311.976	0.0235
2513.47	313.886	0.1614
2513.54	313.914	0.1415
2517.94	315.702	0.2605
2520.07	316.469	0.3706
2525.02	318.170	0.5927
2526.74	318.803	0.5315
2531.07	320.714	0.6422
2531.14	320.744	0.6085
2537.67	323.116	0.5728
2544.34	325.133	0.3905
2545.37	325.426	0.5430
2548.74	326.404	0.2125
2553.14	327.590	0.0350
2553.62	327.714	0.0607
2557.53	328.791	-0.0529
2561.87	329.959	-0.2084
2566.34	331.162	-0.1485
2570.12	331.996	-0.1925
2570.74	332.118	-0.2215
2575.14	333.284	0.0370
2580.02	334.374	0.3640
2580.08	334.384	0.2782
2582.28	334.803	0.4924
2583.94	335.107	0.8500
2584.48	335.205	0.7389
2588.34	335.926	0.9325
2588.85	336.021	0.9163
2589.37	336.124	0.4660
2591.08	336.469	0.7520
2592.74	336.834	0.9690
2595.42	337.523	0.8527
2600.37	339.224	1.0597
2601.53	339.694	1.1961
2603.67	340.637	1.1940
2605.94	341.790	1.2015
2606.97	342.355	1.1565
2610.34	344.582	1.1250
2610.82	344.887	1.1209
2614.12	346.809	0.9708
2617.97	348.807	0.9410
2623.54	351.631	0.8595
2625.67	352.749	0.6959
2627.94	353.980	0.6905
2628.97	354.506	0.6710
2631.23	355.576	0.5570
2632.34	356.130	0.6400
2633.43	356.709	0.5900
2635.57	358.041	0.6014
2635.63	358.078	0.5980
2637.83	359.482	0.5650
2638.87	360.145	0.5466
2641.14	361.544	0.4265
2642.17	362.171	0.4227
2642.23	362.206	0.2934
2644.43	363.509	0.5572
2645.54	364.142	0.2730
2646.02	364.415	0.2325
2646.63	364.756	0.2000
2649.32	366.129	0.0504
2651.03	366.990	0.0310
2653.17	368.052	-0.0095
2654.34	368.631	0.0215
2655.43	369.212	0.2950
2657.02	370.119	0.0037
2658.74	371.097	0.0435
2659.83	371.704	0.0460
2660.87	372.261	0.2260
2662.03	372.863	0.1420
2664.23	373.970	-0.0211
2664.72	374.217	0.4904
2667.54	375.841	0.4090
2668.07	376.160	0.3510
2668.63	376.463	0.3360
2670.82	377.621	0.2595
2671.94	378.189	0.1975
2673.57	379.015	0.2110
2676.34	380.353	0.2175
2677.43	380.876	0.2450
2679.07	381.668	0.2920
2681.82	382.993	0.4070
2685.14	384.697	0.2600
2686.23	385.265	0.3300
2687.32	385.773	0.2990
2689.54	386.762	0.4180
2690.07	387.005	0.4700
2692.82	388.483	0.4905
2693.94	389.217	0.5450
2693.95	389.223	0.5320
2695.57	390.222	0.5100
2697.23	391.141	0.6830
2698.32	391.722	0.6630
2698.35	391.736	0.6605
2702.74	393.905	0.6580
2702.75	393.909	0.6530
2706.03	395.232	0.7910
2707.14	395.634	0.5850
2707.15	395.638	0.5520
2708.23	396.052	0.1690
2711.55	397.357	0.4115
2715.94	399.031	0.2520
2715.95	399.034	0.2215
2719.23	400.241	0.1760
2720.34	400.630	0.1245
2720.35	400.633	0.0900
2721.43	401.002	0.0680
2723.63	401.716	0.0640
2724.74	402.068	-0.0680
2724.75	402.071	-0.0300
2725.83	402.414	0.0280
2729.14	403.505	-0.0250
2729.15	403.508	-0.0515
2732.43	404.606	-0.3980
2733.55	404.988	-0.0390
2736.83	406.088	-0.2710
2737.94	406.465	0.0210
2737.95	406.468	0.0170
2742.35	407.956	0.1045
2743.43	408.341	0.2770
2745.63	409.126	0.0870
2746.74	409.517	0.2230
2746.75	409.521	0.2360
2751.14	411.255	0.4165
2751.15	411.259	0.3415
2755.54	413.158	0.4830
2755.55	413.163	0.4960
2758.83	414.579	0.6220
2759.94	415.077	0.5870
2759.95	415.081	0.6070
2761.03	415.570	0.7170
2763.23	416.583	0.6980
2764.35	417.102	0.6295
2768.74	419.202	0.6720
2768.75	419.207	0.6655
2773.14	421.498	0.6495
2773.15	421.503	0.6740
2774.23	422.113	0.4350
2776.43	423.405	0.8010
2777.54	424.068	0.9865
2777.55	424.074	0.9825
2780.83	425.948	0.9370
2781.95	426.615	1.4285
2782.11	426.725	1.4300
2785.23	429.136	1.3067
2786.34	430.239	1.2775
2786.35	430.249	1.2495
2787.43	431.449	1.2920
2789.02	433.478	1.2219
2789.63	434.323	1.0830
2790.75	435.897	1.1650
2792.87	438.924	1.0941
2795.15	442.202	0.9090
2795.31	442.434	0.9195
2797.82	445.896	0.6276
2799.55	447.929	0.4620
2799.59	447.974	0.4865
2803.95	452.310	0.6275
2803.99	452.346	0.5540
2806.62	454.867	0.2062
2808.35	456.651	0.4920
2808.39	456.686	0.5140
2811.07	459.272	0.4655
2812.75	460.850	0.3630
2812.78	460.883	0.4160
2814.87	462.977	0.3609
2816.57	464.652	0.1195
2817.15	465.174	0.2090
2817.19	465.211	0.2055
2819.32	467.218	0.6450
2821.55	469.555	0.5480
2821.59	469.592	0.5945
2822.47	470.531	0.6190
2823.67	471.741	0.6175
2825.22	473.143	0.6671
2825.87	473.661	0.6316
2825.99	473.750	0.7095
2827.97	475.328	0.4870
2828.07	475.405	0.5070
2830.27	477.448	0.1684
2830.39	477.550	0.2700
2830.72	477.855	0.1080
2832.47	479.332	0.1494
2833.47	480.168	0.0190
2834.67	481.205	-0.2572
2834.80	481.308	-0.0170
2836.22	482.502	-0.0620
2836.87	482.988	-0.4759
2838.97	484.489	-0.0260
2839.19	484.638	0.0075
2839.62	484.938	0.0448
2841.72	486.343	0.2030
2841.82	486.407	0.1577
2843.47	487.490	0.3685
2843.59	487.567	0.3315
2845.12	488.572	0.5180
2847.99	490.456	0.7015
2848.42	490.734	0.7310
2851.72	492.864	0.7125
2852.39	493.305	0.7375
2854.47	494.664	0.5930
2856.79	496.163	0.4835
2857.77	496.803	0.3765
2861.07	499.138	0.1375
2861.19	499.223	0.1510
2864.92	501.854	0.0785
2865.61	502.349	0.1230
2868.22	504.170	0.1395
2869.99	505.378	0.3085
2871.52	506.484	0.3615
2874.27	508.520	0.5870
2874.39	508.607	0.6640
2874.82	508.941	0.6695
2878.12	511.512	0.8955
2878.79	512.031	0.9080
2881.42	514.033	0.9480
2883.18	515.333	1.0480
2885.27	516.788	0.9170
2887.59	518.316	0.8445
2889.12	519.329	0.7070
2891.99	521.277	0.5230
2892.97	521.946	0.4080
2896.27	524.190	0.2815
2896.41	524.290	0.3050
2899.57	526.501	0.1545
2900.79	527.379	0.0610
2902.87	528.959	0.1415
2903.42	529.403	0.0835
2905.18	530.844	0.2450
2906.17	531.640	0.2740
2908.92	533.932	0.2700
2909.59	534.607	0.1810
2911.67	536.756	0.2560
2913.99	539.096	0.3240
2914.97	540.049	0.3640
2916.62	541.654	0.2890
2918.39	543.408	0.5160
2919.37	544.366	0.5415
2919.92	544.886	0.3395
2921.02	545.882	0.2630
2922.78	547.420	0.2535
