/* DATA DESCRIPTION:
Citation:	Zachos, James C; Dickens, Gerald Roy; Zeebe, Richard E (2008): Age and δ¹⁸O analysis relating to Cenozoic greenhouse climatesXXX. PANGAEA, https://doi.org/10.1594/PANGAEA.816367, 
	Supplement to: Zachos, JC et al. (2008): An early Cenozoic perspective on greenhouse warming and carbon-cycle dynamics. Nature, 451(7176), 279-283, https://doi.org/10.1038/nature06588
Abstract:	Past episodes of greenhouse warming provide insight into the coupling of climate and the carbon cycle and thus may help to predict the consequences of unabated carbon emissions in the future.
Related to:	Bijl, Peter K; Bendle, James A; Bohaty, Steven M; Pross, Jörg; Schouten, Stefan; Tauxe, Lisa; Stickley, Catherine E; McKay, Robert M; Röhl, Ursula; Olney, M; Sluijs, Appy; Escutia Dotti, Carlota; Brinkhuis, Henk; Expedition 318 Scientists (2013): Eocene cooling linked to early flow across the Tasmanian Gateway. PANGAEA, https://doi.org/10.1594/PANGAEA.816368
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu)
	δ18O, adjusted/corrected [‰] (δ18O) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu)
	δ13C, adjusted/corrected [‰ PDB] (δ13C) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Calculated * COMMENT: 5pnt MA
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1610 data points
*/
Age [ka BP]	δ18O [‰]	δ13C [‰ PDB]
41395.93	1.14	1.02
41398.90	0.97	1.10
41405.83	1.06	1.09
41409.78	1.27	1.05
41416.71	1.00	1.05
41425.61	0.97	1.04
41426.60	0.95	0.98
41428.58	1.04	0.95
41436.49	0.95	0.97
41446.38	0.84	1.05
41450.34	1.08	1.08
41450.34	1.32	1.19
41457.26	1.20	1.22
41460.23	1.53	1.17
41463.20	0.95	1.17
41467.15	0.88	1.13
41475.07	1.28	1.05
41477.04	0.99	1.06
41480.01	1.15	1.08
41486.93	0.98	1.04
41497.82	1.02	1.04
41507.71	1.07	0.98
41517.60	1.00	0.99
41524.52	0.82	1.02
41527.49	1.02	1.00
41535.40	1.18	0.99
41538.37	0.96	1.06
41540.35	0.97	1.06
41548.26	1.18	0.97
41551.23	1.02	0.99
41556.17	0.70	1.01
41558.15	1.08	0.93
41578.92	1.05	0.90
41580.90	0.82	0.95
41589.80	0.86	0.96
41598.71	0.94	0.99
41615.52	1.15	1.04
41619.48	1.20	1.02
41634.32	1.07	1.06
41637.28	0.75	1.03
41639.26	1.14	0.99
41643.22	1.01	1.01
41645.20	1.00	1.07
41647.17	1.14	1.05
41660.03	1.08	1.07
41679.82	1.03	1.10
41689.71	1.09	1.09
41696.63	1.14	1.07
41697.62	1.12	1.03
41700.59	0.96	1.04
41704.54	0.85	0.94
41710.48	1.10	0.91
41718.39	0.68	0.94
41720.37	0.96	0.96
41730.26	1.11	0.94
41732.24	0.94	0.99
41741.14	1.02	1.03
41751.03	0.91	1.01
41760.92	1.16	1.04
41770.82	1.02	1.01
41771.80	1.07	0.95
41786.64	0.87	0.88
41792.58	0.62	0.83
41796.53	0.81	0.78
41796.53	0.78	0.81
41802.47	0.80	0.90
41817.30	1.02	0.95
41834.12	1.10	1.03
41844.01	1.02	1.04
41850.93	1.23	0.95
41863.79	0.84	0.94
41873.68	0.55	0.92
41883.58	1.05	0.86
41899.40	0.93	0.89
41912.26	0.95	0.90
41915.23	0.95	0.90
41924.13	0.61	1.01
41942.92	1.07	1.02
41942.92	1.47	1.03
41947.87	1.01	1.08
41964.68	0.96	1.04
41983.48	0.90	0.92
41986.45	0.84	0.88
41986.45	0.91	0.89
42029.97	0.80	0.76
42032.93	1.02	0.76
42037.88	0.21	0.72
42043.82	0.88	0.77
42046.78	0.70	0.79
42093.27	1.05	0.91
42100.20	1.13	0.89
42120.97	0.82	0.89
42179.33	0.75	0.91
42192.18	0.69	1.03
42196.14	1.19	1.04
42196.14	1.69	1.13
42209.99	0.86	1.28
42212.96	1.22	1.19
42213.95	1.42	1.08
42239.66	0.76	0.95
42241.64	1.15	0.82
42261.42	0.22	0.70
42270.33	0.53	0.62
42292.09	0.84	0.51
42315.32	0.37	0.74
42322.03	0.58	0.81
42340.22	1.36	0.82
42358.42	0.90	0.89
42364.16	0.89	0.88
42372.78	0.69	0.77
42401.51	0.53	0.76
42413.96	0.81	0.84
42438.86	0.86	0.93
42456.09	1.31	0.99
42460.88	1.13	0.99
42462.80	0.82	1.02
42481.95	0.85	0.91
42482.91	1.00	0.87
42507.81	0.77	0.82
42531.75	0.90	0.73
42554.73	0.57	0.72
42557.60	0.39	0.71
42563.35	0.99	0.69
42572.92	0.71	0.69
42580.58	0.77	0.80
42611.23	0.57	0.76
42630.38	0.97	0.77
42638.04	0.80	0.77
42667.73	0.76	0.79
42667.73	0.73	0.74
42678.26	0.71	0.70
42679.22	0.68	0.68
42704.12	0.64	0.70
42719.44	0.65	0.66
42722.31	0.84	0.65
42762.53	0.50	0.70
42764.45	0.62	0.64
42777.86	0.90	0.61
42780.73	0.33	0.57
42821.91	0.67	0.64
42829.57	0.35	0.68
42832.44	0.93	0.73
42874.58	1.13	0.76
42879.36	0.56	1.01
42880.32	0.85	0.97
42883.19	1.56	0.85
42887.98	0.74	0.88
42927.25	0.56	0.83
42953.10	0.68	0.76
42977.04	0.59	0.83
42996.19	1.24	0.84
43008.64	1.07	0.82
43019.18	0.59	0.80
43025.88	0.61	0.76
43084.30	0.50	0.66
43091.96	1.02	0.64
43149.42	0.57	0.77
43158.03	0.49	0.80
43198.25	1.25	0.73
43205.92	0.65	0.74
43255.71	0.71	0.82
43281.57	0.61	0.79
43295.93	0.86	0.75
43295.93	1.13	0.80
43304.55	0.46	0.83
43325.62	0.95	0.77
43345.73	0.76	0.67
43349.56	0.56	0.86
43354.35	0.63	0.81
43388.82	1.41	0.86
43411.81	0.71	0.80
43418.51	1.00	0.97
43420.42	0.24	0.92
43420.42	1.48	1.00
43443.37	1.18	1.01
43447.83	1.08	1.07
43476.36	1.09	0.83
43483.49	0.51	0.72
43494.19	0.27	0.56
43495.97	0.67	0.54
43553.91	0.25	0.56
43561.94	1.02	0.58
43589.57	0.59	0.63
43626.12	0.36	0.82
43660.00	0.96	0.91
43660.00	1.16	0.91
43666.24	1.50	0.90
43679.61	0.59	0.95
43692.09	0.28	0.93
43717.95	1.21	0.76
43736.67	1.08	0.83
43758.06	0.63	0.97
43758.95	0.96	0.88
43795.50	0.98	0.79
43831.16	0.75	0.86
43861.47	0.62	0.87
43867.71	0.99	0.73
43896.24	1.01	0.88
43897.13	0.29	0.94
43922.09	1.46	0.95
43923.88	0.97	0.94
43952.40	1.03	1.08
43962.21	0.93	0.94
43963.99	1.03	0.94
44003.22	0.74	0.92
44003.22	0.97	0.87
44011.24	0.92	0.84
44036.20	0.70	0.88
44083.45	0.87	0.86
44112.87	0.94	0.95
44139.61	0.87	0.95
44145.85	1.37	0.94
44167.25	0.72	1.09
44169.03	0.82	1.14
44186.86	1.65	1.10
44192.21	1.15	1.09
44227.87	1.15	1.16
44240.35	0.69	0.89
44300.08	1.16	0.77
44306.32	0.29	0.78
44312.56	0.57	0.81
44328.60	1.19	0.85
44356.24	0.84	0.89
44367.83	1.34	0.87
44379.42	0.51	0.80
44383.88	0.46	0.83
44384.77	0.87	0.78
44407.95	0.98	0.86
44409.73	1.09	0.97
44426.67	0.90	0.91
44444.50	1.01	0.89
44453.41	0.58	0.86
44515.81	0.84	0.97
44545.23	0.98	0.91
44736.01	1.45	1.02
44746.71	0.71	1.03
44760.97	1.11	1.05
44780.58	0.92	0.97
44782.36	1.05	0.91
44788.60	1.08	0.88
44815.35	0.38	0.90
44817.13	0.95	0.90
44840.31	1.02	0.75
44876.86	1.06	0.77
44885.78	0.32	0.84
44956.20	0.50	0.67
44990.08	1.29	0.64
45026.63	0.19	0.79
45027.52	0.88	0.82
45035.54	1.10	0.64
45094.38	0.63	0.81
45107.75	0.42	0.84
45115.78	1.02	0.79
45141.63	1.04	0.70
45146.98	0.82	0.82
45165.70	0.22	0.78
45171.05	1.01	0.71
45218.29	0.79	0.80
45221.86	0.70	0.92
45243.26	1.27	0.86
45289.61	0.84	0.77
45291.40	0.68	0.80
45337.75	0.35	0.65
45362.71	0.86	0.72
45433.14	0.50	0.75
45497.33	1.21	0.79
45505.35	0.80	0.86
45538.33	0.57	0.81
45543.68	1.20	0.74
45548.14	0.27	0.74
45574.88	0.85	0.71
45616.78	0.83	0.55
45646.20	0.38	0.65
45647.09	0.44	0.63
45650.66	0.76	0.68
45658.68	0.71	0.76
45658.68	1.10	0.80
45716.63	0.80	0.75
45736.00	0.62	0.68
45779.71	0.50	0.65
45784.86	0.39	0.61
45794.29	0.93	0.55
45836.29	0.63	0.56
45862.86	0.29	0.62
45881.71	0.57	0.54
45937.43	0.69	0.48
45969.14	0.52	0.63
46003.43	0.32	0.65
46038.57	1.06	0.56
46046.29	0.63	0.51
46120.86	0.26	0.55
46173.14	0.27	0.36
46206.57	0.52	0.39
46235.71	0.14	0.41
46254.57	0.78	0.46
46299.14	0.35	0.40
46320.57	0.51	0.47
46355.71	0.22	0.42
46361.71	0.48	0.50
46368.57	0.54	0.49
46396.86	0.75	0.59
46408.86	0.44	0.50
46433.71	0.73	0.46
46463.71	0.01	0.43
46485.14	0.37	0.52
46577.71	0.61	0.42
46618.00	0.86	0.55
46637.71	0.24	0.62
46637.71	0.67	0.62
46648.00	0.72	0.59
46685.71	0.59	0.64
46751.71	0.73	0.63
46842.57	0.47	0.60
46906.00	0.63	0.67
46920.57	0.59	0.57
46990.00	0.93	0.60
47014.00	0.25	0.48
47032.00	0.58	0.41
47062.00	0.07	0.22
47072.29	0.24	0.19
47095.43	-0.04	0.16
47156.29	0.11	0.25
47164.86	0.45	0.16
47185.43	0.47	0.26
47198.29	-0.20	0.26
47204.29	0.47	0.25
47204.29	0.10	0.14
47212.86	0.38	0.19
47266.00	-0.05	0.12
47329.43	0.04	0.17
47331.14	0.14	0.12
47338.00	0.35	0.18
47355.34	0.13	0.18
47355.34	0.25	0.22
47418.51	0.04	0.12
47467.44	0.35	0.19
47467.44	-0.16	0.21
47496.80	0.46	0.21
47503.92	0.37	0.16
47531.50	0.01	0.19
47542.18	0.10	0.16
47577.76	0.01	0.05
47578.65	0.28	-0.03
47594.67	-0.15	-0.06
47617.80	-0.40	0.04
47644.49	-0.04	0.06
47655.17	0.52	0.09
47692.54	0.35	0.16
47699.65	0.04	0.21
47756.60	-0.05	0.15
47766.38	0.20	0.17
47777.95	0.19	0.15
47778.84	0.49	0.24
47805.53	-0.06	0.22
47814.43	0.38	0.23
47844.68	0.11	0.10
47853.57	0.24	0.10
47868.70	-0.18	0.04
47925.64	-0.05	0.05
47929.20	0.06	0.06
47929.20	0.16	0.07
47956.78	0.30	0.17
48016.39	-0.14	0.13
48030.63	0.46	0.21
48054.65	-0.11	0.09
48064.43	0.52	0.06
48096.46	-0.29	0.06
48210.35	-0.28	0.04
48242.38	0.47	-0.14
48320.67	-0.23	-0.13
48350.03	-0.36	-0.10
48382.95	-0.27	-0.14
48421.21	-0.10	-0.11
48454.13	0.28	-0.02
48471.03	-0.12	-0.05
48496.83	0.11	-0.07
48529.75	-0.44	-0.09
48538.65	-0.18	-0.11
48581.61	0.19	-0.13
48600.41	-0.22	0.03
48617.33	0.00	0.06
48671.83	0.36	0.03
48689.69	-0.05	0.13
48711.30	0.05	0.02
48746.07	0.29	-0.09
48788.36	-0.54	-0.06
48803.40	-0.21	-0.09
48809.98	0.11	-0.09
48821.25	-0.10	-0.06
48821.25	0.29	-0.13
48906.77	-0.38	-0.17
48953.76	-0.56	-0.09
48987.59	-0.08	-0.24
49007.33	0.29	-0.29
49015.78	-0.47	-0.29
49078.75	-0.62	-0.41
49156.75	-0.59	-0.54
49218.77	-0.68	-0.39
49275.16	-0.36	-0.16
49318.39	0.29	-0.09
49332.48	0.52	-0.03
49346.89	-0.22	-0.08
49351.82	-0.37	-0.21
49410.89	-0.60	-0.37
49459.14	-0.36	-0.40
49510.34	-0.31	-0.37
49510.34	-0.35	-0.16
49527.08	-0.22	-0.11
49562.52	0.42	-0.08
49567.45	-0.06	-0.01
49672.80	-0.16	0.07
49676.74	-0.03	-0.05
49690.52	0.16	-0.12
49769.29	-0.13	-0.01
49779.14	-0.43	0.05
49816.55	0.38	0.01
49818.52	0.26	0.09
49877.60	-0.05	0.18
49984.92	0.30	0.03
50005.60	-0.01	-0.02
50093.23	-0.36	-0.05
50133.60	0.01	-0.21
50146.40	-0.20	-0.33
50201.54	-0.48	-0.42
50236.98	-0.64	-0.44
50238.95	-0.80	-0.41
50261.60	-0.08	-0.40
50275.38	-0.07	-0.43
50345.29	-0.42	-0.28
50347.26	-0.76	-0.33
50389.60	-0.05	-0.41
50426.03	-0.37	-0.38
50447.69	-0.45	-0.33
50447.69	-0.27	-0.36
50480.18	-0.51	-0.47
50534.34	-0.17	-0.51
50621.03	-0.93	-0.61
50709.97	-0.66	-0.53
50713.08	-0.78	-0.39
50742.03	-0.11	-0.26
50742.03	0.52	-0.15
50785.47	-0.27	-0.08
50813.39	-0.13	-0.11
50818.56	-0.39	-0.28
50977.83	-0.25	-0.34
50991.27	-0.35	-0.35
50993.34	-0.56	-0.30
51162.95	-0.22	-0.34
51174.32	-0.11	-0.40
51205.35	-0.45	-0.36
51208.45	-0.68	-0.38
51258.09	-0.33	-0.42
51293.26	-0.32	-0.46
51348.07	-0.34	-0.43
51420.46	-0.65	-0.34
51422.53	-0.50	-0.31
51493.89	0.09	-0.36
51533.19	-0.16	-0.41
51607.65	-0.60	-0.30
51611.79	-0.90	-0.40
51656.26	0.08	-0.30
51740.03	-0.41	-0.11
51838.57	0.30	-0.07
51838.57	0.39	-0.13
51860.46	-0.70	-0.15
51912.81	-0.21	-0.19
51971.82	-0.51	-0.30
51971.82	0.07	-0.25
51992.76	-0.12	-0.23
51993.71	-0.48	-0.09
52091.75	-0.11	-0.20
52091.75	0.20	-0.25
52195.49	-0.48	-0.20
52197.40	-0.39	-0.18
52275.45	-0.23	-0.20
52293.53	0.02	-0.11
52293.53	0.06	-0.01
52327.80	0.00	-0.04
52327.80	0.11	-0.02
52396.33	-0.37	-0.06
52413.46	0.11	0.02
52428.69	-0.13	-0.08
52430.59	0.38	-0.05
52430.59	-0.37	-0.12
52478.18	-0.22	-0.11
52500.07	-0.26	-0.22
52556.23	-0.06	-0.17
52556.23	-0.20	-0.25
52556.23	-0.13	-0.31
52590.49	-0.58	-0.29
52597.16	-0.60	-0.27
52600.96	0.08	-0.24
52613.34	-0.11	-0.09
52614.29	0.02	-0.08
52640.40	0.15	-0.15
52650.60	-0.53	-0.23
52650.60	-0.27	-0.25
52659.10	-0.52	-0.33
52693.10	-0.10	-0.28
52705.00	-0.24	-0.21
52713.50	-0.27	-0.14
52723.70	0.10	-0.22
52747.50	-0.19	-0.24
52781.50	-0.49	-0.28
52815.50	-0.35	-0.29
52817.20	-0.46	-0.19
52824.00	0.06	-0.16
52824.00	0.29	-0.01
52847.80	-0.33	0.00
52854.60	0.38	-0.09
52858.00	-0.39	-0.21
52886.90	-0.39	-0.19
52920.90	-0.32	-0.47
52926.00	-0.22	-0.28
52954.90	-1.02	-0.24
52966.80	0.53	-0.28
52980.40	-0.16	-0.33
52982.10	-0.53	-0.20
53016.10	-0.48	-0.21
53067.10	-0.34	-0.31
53068.80	0.45	-0.10
53089.20	-0.67	-0.09
53097.70	0.55	-0.07
53133.40	-0.42	-0.18
53165.70	-0.24	-0.05
53179.30	-0.14	-0.20
53179.30	0.00	-0.02
53187.80	-0.20	-0.06
53226.90	0.49	-0.12
53247.30	-0.43	-0.18
53264.30	-0.46	-0.17
53283.00	-0.27	-0.34
53328.90	-0.18	-0.26
53330.60	-0.37	-0.12
53347.60	0.00	-0.04
53347.60	0.24	-0.05
53357.80	0.09	0.01
53381.60	-0.23	-0.01
53383.30	-0.08	-0.11
53419.00	-0.08	-0.20
53419.00	-0.24	-0.22
53454.70	-0.39	-0.25
53456.40	-0.30	-0.22
53476.80	-0.26	-0.29
53487.00	0.09	-0.24
53502.30	-0.56	-0.30
53534.60	-0.17	-0.30
53544.80	-0.62	-0.37
53580.50	-0.21	-0.17
53611.10	-0.29	-0.17
53616.20	0.45	-0.09
53616.20	-0.18	-0.01
53651.90	-0.20	0.12
53745.40	0.15	0.03
53764.10	0.38	0.06
53889.90	-0.02	0.06
53889.90	-0.01	-0.15
53980.00	-0.22	-0.35
53984.18	-0.86	-0.40
53987.32	-0.63	-0.52
53989.41	-0.26	-0.53
53997.77	-0.66	-0.40
54001.95	-0.24	-0.20
54007.18	-0.20	-0.09
54018.68	0.35	0.12
54022.86	0.28	0.22
54067.82	0.40	0.30
54109.64	0.27	0.24
54124.27	0.21	0.16
54144.14	0.02	0.17
54179.68	-0.09	0.20
54189.09	0.45	0.19
54190.14	0.43	0.24
54201.64	0.16	0.31
54236.14	0.24	0.26
54281.09	0.27	0.23
54341.73	0.20	0.26
54392.95	0.29	0.32
54407.59	0.29	0.37
54407.59	0.54	0.43
54441.05	0.52	0.45
54441.05	0.53	0.44
54453.59	0.39	0.43
54475.55	0.24	0.33
54510.05	0.47	0.26
54540.36	0.04	0.26
54543.50	0.15	0.28
54578.00	0.38	0.18
54612.50	0.37	0.29
54640.73	-0.06	0.27
54647.00	0.59	0.21
54678.36	0.07	0.19
54680.45	0.07	0.28
54714.95	0.28	0.17
54714.95	0.37	0.19
54724.36	0.04	0.25
54749.45	0.17	0.20
54749.45	0.38	0.11
54783.95	0.02	0.24
54806.95	-0.06	0.27
54816.36	0.70	0.27
54874.91	0.30	0.36
54888.50	0.38	0.38
54903.14	0.47	0.26
54908.36	0.04	0.15
54925.09	0.10	0.16
54993.05	-0.24	0.12
55013.95	0.41	0.13
55053.68	0.31	0.18
55101.77	0.07	0.32
55138.36	0.34	0.30
55161.36	0.45	0.35
55176.00	0.35	0.36
55190.64	0.53	0.35
55201.09	0.13	0.33
55252.32	0.27	0.24
55252.32	0.35	0.25
55275.32	-0.09	0.26
55281.59	0.60	0.30
55296.23	0.16	0.25
55318.18	0.49	0.27
55320.27	0.11	0.21
55325.50	0.00	0.12
55332.82	0.31	0.08
55340.14	-0.33	0.18
55342.23	0.32	0.14
55342.23	0.60	0.12
55345.36	-0.18	0.20
55365.67	0.20	0.09
55378.13	0.04	-0.08
55398.53	-0.22	-0.06
55412.13	-0.26	-0.17
55434.80	-0.08	-0.36
55437.07	-0.32	-0.38
55458.60	-0.90	-0.34
55462.00	-0.32	-0.30
55469.93	-0.07	-0.21
55469.93	0.13	-0.21
55469.93	0.13	-0.14
55508.47	-0.94	-0.04
55526.60	0.06	-0.24
55526.60	0.43	-0.17
55530.00	-0.90	0.00
55530.00	0.51	0.01
55531.90	-0.12	-0.13
55538.56	0.13	0.07
55545.22	-0.29	0.06
55550.93	0.13	0.13
55552.84	0.47	0.15
55553.79	0.22	0.34
55554.74	0.23	0.41
55556.64	0.66	0.40
55558.55	0.45	0.42
55569.01	0.42	0.48
55589.95	0.33	0.42
55599.46	0.53	0.41
55600.41	0.38	0.34
55605.17	0.38	0.37
55609.93	0.08	0.35
55617.54	0.49	0.33
55620.39	0.40	0.27
55623.25	0.29	0.40
55632.76	0.09	0.34
55632.76	0.72	0.37
55643.23	0.22	0.40
55647.04	0.54	0.46
55681.29	0.45	0.31
55684.15	0.37	0.32
55693.66	-0.05	0.32
55693.66	0.30	0.33
55698.42	0.51	0.28
55706.03	0.51	0.38
55721.25	0.13	0.38
55741.24	0.45	0.27
55765.02	0.29	0.25
55820.21	-0.05	0.30
55852.56	0.45	0.27
55854.47	0.36	0.35
55907.75	0.28	0.52
55918.22	0.71	0.53
55918.22	0.81	0.57
55926.78	0.47	0.60
55939.15	0.56	0.62
55944.86	0.45	0.54
55975.31	0.82	0.50
56024.79	0.41	0.57
56026.69	0.27	0.59
56026.69	0.91	0.45
56088.54	0.52	0.48
56100.91	0.15	0.52
56113.28	0.54	0.41
56140.87	0.50	0.34
56193.21	0.33	0.39
56244.59	0.19	0.37
56245.54	0.39	0.41
56287.41	0.46	0.41
56343.55	0.67	0.46
56354.01	0.36	0.39
56370.19	0.40	0.40
56384.46	0.05	0.37
56409.20	0.53	0.43
56452.97	0.50	0.46
56506.25	0.66	0.53
56534.80	0.58	0.53
56565.25	0.40	0.52
56606.16	0.52	0.53
56632.81	0.46	0.56
56688.95	0.69	0.57
56700.36	0.73	0.51
56727.01	0.45	0.49
56733.67	0.21	0.44
56767.92	0.37	0.42
56770.78	0.44	0.46
56836.43	0.65	0.44
56862.12	0.61	0.52
56894.47	0.14	0.53
56895.42	0.78	0.47
56937.29	0.48	0.49
56937.29	0.35	0.54
56962.98	0.71	0.54
57056.23	0.40	0.58
57061.94	0.78	0.60
57090.48	0.67	0.63
57111.62	0.45	0.66
57167.62	0.84	0.63
57225.74	0.58	0.64
57225.74	0.59	0.66
57332.45	0.72	0.68
57332.45	0.55	0.72
57376.83	0.97	0.74
57461.36	0.79	0.76
57469.81	0.66	0.85
57488.83	0.84	0.79
57555.40	0.98	0.78
57564.91	0.67	0.77
57586.04	0.73	0.74
57600.83	0.63	0.73
57651.55	0.71	0.70
57660.00	0.93	0.66
57797.19	0.52	0.63
57816.78	0.52	0.60
57816.78	0.47	0.56
57986.63	0.58	0.67
